,Design Power (kW),Design T41t (degK),Design OPR (-),Design altitude (ft),Design Mach (-),Limit OPR (-),Limit ITT (degK),Altitude (ft),Mach (-),Max Power OPR Limit (kW),Max Power ITT Limit (kW)
99,1820.2978573123798,1413.0267638432092,12.790311384969245,0.0,0.0,13.042331140245908,1273.15,4599.108477965255,0.3037961098225655,1794.7432516362462,3175.165451251818
100,1096.8728411080822,1022.4148656361399,8.385379874520691,0.0,0.0,10.656325844597427,958.15,29196.496838536084,0.4546331180529109,838.2945307004094,2175.549721665715
101,1072.3108652376409,1118.0067525519012,8.781533227669318,0.0,0.0,10.22288628050945,1088.4031362613387,20560.51556816064,0.25545506277755187,742.5179158588817,2157.005838887404
102,1109.4188479410002,1275.0362875217888,11.50540454882354,0.0,0.0,14.813434681367447,1273.15,32682.73956763696,0.17238117578369402,469.6168804959843,1605.7403279970742
103,1015.1736867800969,1017.3795185214354,7.0,0.0,0.0,8.315629307851433,958.15,16689.45479542517,0.068861829569053,858.8091109489524,1959.5641815938263
104,1012.7422635156145,1139.3227905708495,7.0,0.0,0.0,7.302001657173817,1108.9953946340381,26198.797957594794,0.31278686439823683,429.55064235891604,1460.2506008943208
105,1715.0953815595356,1349.2928236412185,13.370672504607565,0.0,0.0,15.469384205545463,1273.15,21482.60925542157,0.5302788025688097,1336.6916231498847,3013.2197483853415
106,588.3017680133246,998.3056137069694,7.0,0.0,0.0,7.230200859330587,958.15,401.59388763963995,0.06662728594446315,659.2110758941894,1619.428346126463
107,2068.2140126529725,1387.3645426499306,13.877539512553277,0.0,0.0,15.67691197592899,1273.15,27542.862672387993,0.18227164652410793,856.5928551487045,2657.349062449553
108,1396.534855972246,1271.2218179917195,8.830728100074701,0.0,0.0,9.582377770437462,1235.1384176841557,10673.302504364934,0.14698991275251005,1136.816589369298,2452.572149071434
109,2128.2697054401424,1360.8732341013647,18.793187383565517,0.0,0.0,21.43187496311274,1273.15,2562.308360481511,0.4727065011914184,3389.9613009287887,7243.14075896081
110,2231.683821838756,1315.2894519776619,13.22737030734889,0.0,0.0,15.103228552054544,1273.15,4126.927418739061,0.22037775681600474,2687.2766728568686,5675.391136542415
111,2690.4328628229537,1307.9623263694311,16.13536542114828,0.0,0.0,19.561032921783667,1273.15,14283.935924327963,0.46901264005141885,3009.631597689024,7644.864225890386
112,2498.901695290777,1345.6927814765804,11.105660134468298,0.0,0.0,11.868626990138237,1273.15,14189.691892505627,0.435122886862041,2082.3964059631,4342.667589929808
113,1571.2955161012644,1409.6863373535862,11.966243031013457,0.0,0.0,13.02422645941131,1273.15,26091.151300973957,0.5815257452344782,928.9502785210097,1925.8633771433306
114,1105.0113352342184,1335.13810963054,11.260833914958942,0.0,0.0,11.590404098966285,1273.15,12431.519404196259,0.1673886810505399,747.7340617471975,1956.7344375159155
115,3311.0941307897638,1373.8166694583665,15.48758722554354,0.0,0.0,17.55245017807735,1273.15,6469.302478403863,0.1659605860912446,3445.2735631434343,7377.868289012149
116,1960.147676639515,1280.5904362223505,11.812530459291924,0.0,0.0,14.894990757486108,1273.15,736.1305746877601,0.2635011029915795,3395.597792947292,5557.497915013045
117,852.1770786227993,1334.3552315100787,9.371061525409061,0.0,0.0,12.008974106574026,1273.15,9685.74796740182,0.14042922416584372,995.7770687839035,1380.420196408967
118,718.9662942430527,959.7808281622057,7.0,0.0,0.0,8.862642676162919,958.15,3413.861072616159,0.35101940481456223,1717.05140378081,2731.476266047202
119,823.5647320256143,993.18662655518,9.850711673408506,0.0,0.0,11.269711182590493,958.15,25089.523079927156,0.521971759218465,762.3092141171173,2977.127728526771
120,2796.818702536186,1387.5754335354359,16.181765114217278,0.0,0.0,19.066885714208855,1273.15,19652.53600473367,0.05678343757782654,1739.3788723516604,4821.412413673029
121,639.2749149500214,982.9971564041047,7.0,0.0,0.0,8.336747733818996,967.026219818,13416.527316544483,0.29351958790975335,760.8119037871077,1763.6745507786884
122,1057.0788005946333,1306.9376084589649,9.775573935121315,0.0,0.0,11.058707053287543,1273.15,9207.570722588976,0.5543403060948356,1408.2554144220042,2230.9958054106473
123,1928.5005602397175,1297.4105389922875,11.373607285768356,0.0,0.0,14.115587795292486,1273.15,4913.369671745893,0.4795936339542495,3317.689086926005,4922.6661166450085
124,503.43559751833504,959.9730298490076,8.165907767065642,0.0,0.0,10.073913039571673,958.15,9165.923755377898,0.07196354593587116,746.5372377897016,2145.9721543628343
125,1683.4048608400471,1017.1713848990601,7.189782022194846,0.0,0.0,7.31802023458446,958.15,1441.0053219250647,0.24196690398621729,1924.3338152593951,4320.3028023047655
126,540.2027165694913,1020.7728126620622,7.0,0.0,0.0,7.206947202843938,958.15,26767.695461940602,0.16032826092399843,190.93144178118044,856.3295705252175
127,548.7645894500185,1005.0054357388024,7.0,0.0,0.0,8.975545777844522,958.15,23965.729056616827,0.5671179341192171,656.8058351301828,1158.633011048425
128,2135.3028863025265,1318.6336431655432,17.91013952163516,0.0,0.0,19.80563159955787,1219.6660432935173,31066.46682742329,0.08437005633258858,676.1373498333804,3656.2463259852107
129,1471.6090647410906,1278.0978568839755,11.605816438462785,0.0,0.0,13.69981054533773,1273.15,21730.35887308609,0.39309592051303854,1042.5827592489243,2878.417014883611
130,1097.533150110714,1015.2139799524618,10.709597753051439,0.0,0.0,13.563470773762264,958.15,23468.41056926887,0.5640549693780572,1484.5842368628596,4067.6863784439265
131,1563.8479577672915,1273.8608054863444,11.080683064373662,0.0,0.0,13.353622224140349,1170.8547684127016,4201.743131867268,0.34649043695126835,2313.5261409548343,3180.284589309374
